cancer_site,period,age,HSCT,sex,prevalence
Gallbladder And Other Biliary Cancer,10-year,65-74,South Eastern HSCT,Male,4.642857142857143
Gallbladder And Other Biliary Cancer,10-year,65-74,Southern HSCT,Male,3.9285714285714293
Gallbladder And Other Biliary Cancer,10-year,65-74,Western HSCT,Male,4.2857142857142865
Gallbladder And Other Biliary Cancer,10-year,75+,Belfast HSCT,Male,7.771428571428571
Gallbladder And Other Biliary Cancer,10-year,75+,Northern HSCT,Male,7.771428571428571
Gallbladder And Other Biliary Cancer,10-year,75+,South Eastern HSCT,Male,5.942857142857142
Gallbladder And Other Biliary Cancer,10-year,75+,Southern HSCT,Male,5.0285714285714285
Gallbladder And Other Biliary Cancer,10-year,75+,Western HSCT,Male,5.485714285714286
Gallbladder And Other Biliary Cancer,10-year,0-54,Belfast HSCT,Female,1.3333333333333333
Gallbladder And Other Biliary Cancer,10-year,0-54,Northern HSCT,Female,1.4166666666666665
Gallbladder And Other Biliary Cancer,10-year,0-54,South Eastern HSCT,Female,1.8333333333333333
Gallbladder And Other Biliary Cancer,10-year,0-54,Southern HSCT,Female,1.75
Gallbladder And Other Biliary Cancer,10-year,0-54,Western HSCT,Female,0.6666666666666666
Gallbladder And Other Biliary Cancer,10-year,55-64,Belfast HSCT,Female,2.2857142857142856
Gallbladder And Other Biliary Cancer,10-year,55-64,Northern HSCT,Female,2.4285714285714284
Gallbladder And Other Biliary Cancer,10-year,55-64,South Eastern HSCT,Female,3.142857142857143
Gallbladder And Other Biliary Cancer,10-year,55-64,Southern HSCT,Female,3
Gallbladder And Other Biliary Cancer,10-year,55-64,Western HSCT,Female,1.1428571428571428
Gallbladder And Other Biliary Cancer,10-year,65-74,Belfast HSCT,Female,4.380952380952381
Gallbladder And Other Biliary Cancer,10-year,65-74,Northern HSCT,Female,4.654761904761905
Gallbladder And Other Biliary Cancer,10-year,65-74,South Eastern HSCT,Female,6.023809523809525
Gallbladder And Other Biliary Cancer,10-year,65-74,Southern HSCT,Female,5.750000000000001
Gallbladder And Other Biliary Cancer,10-year,65-74,Western HSCT,Female,2.1904761904761907
Gallbladder And Other Biliary Cancer,10-year,75+,Belfast HSCT,Female,8
Gallbladder And Other Biliary Cancer,10-year,75+,Northern HSCT,Female,8.5
Gallbladder And Other Biliary Cancer,10-year,75+,South Eastern HSCT,Female,11
Gallbladder And Other Biliary Cancer,10-year,75+,Southern HSCT,Female,10.5
Gallbladder And Other Biliary Cancer,10-year,75+,Western HSCT,Female,4
Kidney Cancer,10-year,0-54,Belfast HSCT,Male,31.777583187390544
Kidney Cancer,10-year,0-54,Northern HSCT,Male,49.57968476357268
Kidney Cancer,10-year,0-54,South Eastern HSCT,Male,40.928196147110334
Kidney Cancer,10-year,0-54,Southern HSCT,Male,36.768826619964976
Kidney Cancer,10-year,0-54,Western HSCT,Male,30.94570928196147
Kidney Cancer,10-year,55-64,Belfast HSCT,Male,45.492119089316986
Kidney Cancer,10-year,55-64,Northern HSCT,Male,70.97723292469351
Kidney Cancer,10-year,55-64,South Eastern HSCT,Male,58.591943957968475
Kidney Cancer,10-year,55-64,Southern HSCT,Male,52.63747810858143
Kidney Cancer,10-year,55-64,Western HSCT,Male,44.30122591943958
Kidney Cancer,10-year,65-74,Belfast HSCT,Male,60.54465849387041
Kidney Cancer,10-year,65-74,Northern HSCT,Male,94.46234676007006
Kidney Cancer,10-year,65-74,South Eastern HSCT,Male,77.97898423817864
Kidney Cancer,10-year,65-74,Southern HSCT,Male,70.05429071803853
Kidney Cancer,10-year,65-74,Western HSCT,Male,58.95971978984239
Kidney Cancer,10-year,75+,Belfast HSCT,Male,53.18563922942208
Kidney Cancer,10-year,75+,Northern HSCT,Male,82.98073555166376
Kidney Cancer,10-year,75+,South Eastern HSCT,Male,68.50087565674256
Kidney Cancer,10-year,75+,Southern HSCT,Male,61.539404553415075
