sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Females,35-44,Quintile 4,NHSCT,Urban,good_wellbeing,5.371599280483049e-4,0.05371599280483049
Males,45-54,Quintile 4,NHSCT,Urban,good_wellbeing,6.130629613594787e-4,0.061306296135947874
Females,45-54,Quintile 4,NHSCT,Urban,good_wellbeing,5.196438434380342e-4,0.051964384343803426
Males,55-64,Quintile 4,NHSCT,Urban,good_wellbeing,6.4225643570993e-4,0.064225643570993
Females,55-64,Quintile 4,NHSCT,Urban,good_wellbeing,5.371599280483052e-4,0.053715992804830526
Males,65-74,Quintile 4,NHSCT,Urban,good_wellbeing,6.656112151902908e-4,0.06656112151902908
Females,65-74,Quintile 4,NHSCT,Urban,good_wellbeing,5.838694870090277e-4,0.058386948700902774
Males,75-110,Quintile 4,NHSCT,Urban,good_wellbeing,6.948046895407428e-4,0.06948046895407428
Females,75-110,Quintile 4,NHSCT,Urban,good_wellbeing,6.247403510996593e-4,0.06247403510996592
Males,16-34,Least Deprived,NHSCT,Urban,good_wellbeing,6.780995347735395e-4,0.06780995347735395
Females,16-34,Least Deprived,NHSCT,Urban,good_wellbeing,5.559194384179466e-4,0.05559194384179466
Males,35-44,Least Deprived,NHSCT,Urban,good_wellbeing,6.842085395913194e-4,0.06842085395913194
Females,35-44,Least Deprived,NHSCT,Urban,good_wellbeing,5.620284432357263e-4,0.056202844323572636
Males,45-54,Least Deprived,NHSCT,Urban,good_wellbeing,6.414455058668618e-4,0.06414455058668618
Females,45-54,Least Deprived,NHSCT,Urban,good_wellbeing,5.437014287823875e-4,0.05437014287823875
Males,55-64,Least Deprived,NHSCT,Urban,good_wellbeing,6.719905299557597e-4,0.06719905299557598
Females,55-64,Least Deprived,NHSCT,Urban,good_wellbeing,5.620284432357264e-4,0.05620284432357264
Males,65-74,Least Deprived,NHSCT,Urban,good_wellbeing,6.964265492268783e-4,0.06964265492268783
Females,65-74,Least Deprived,NHSCT,Urban,good_wellbeing,6.109004817779636e-4,0.06109004817779636
