cancer_site,sex,period,age,HSCT,prevalence
Blood Multiple Myeloma,Male,25-year,55-64,South Eastern HSCT,23
Blood Multiple Myeloma,Male,25-year,55-64,Southern HSCT,26
Blood Multiple Myeloma,Male,25-year,55-64,Western HSCT,28
Blood Multiple Myeloma,Male,25-year,65-74,Belfast HSCT,18
Blood Multiple Myeloma,Male,25-year,65-74,Northern HSCT,53
Blood Multiple Myeloma,Male,25-year,65-74,South Eastern HSCT,39
Blood Multiple Myeloma,Male,25-year,65-74,Southern HSCT,55
Blood Multiple Myeloma,Male,25-year,65-74,Western HSCT,30
Blood Multiple Myeloma,Male,25-year,75+,Belfast HSCT,42
Blood Multiple Myeloma,Male,25-year,75+,Northern HSCT,59
Blood Multiple Myeloma,Male,25-year,75+,South Eastern HSCT,44
Blood Multiple Myeloma,Male,25-year,75+,Southern HSCT,40
Blood Multiple Myeloma,Male,25-year,75+,Western HSCT,34
Brain Cancer,Male,25-year,0-54,Belfast HSCT,55
Brain Cancer,Male,25-year,0-54,Northern HSCT,77
Brain Cancer,Male,25-year,0-54,South Eastern HSCT,61
Brain Cancer,Male,25-year,0-54,Southern HSCT,44
Brain Cancer,Male,25-year,0-54,Western HSCT,44
Brain Cancer,Male,25-year,55-64,Belfast HSCT,10
Brain Cancer,Male,25-year,55-64,Northern HSCT,11
Brain Cancer,Male,25-year,55-64,South Eastern HSCT,10
Brain Cancer,Male,25-year,55-64,Southern HSCT,7
Brain Cancer,Male,25-year,55-64,Western HSCT,7
Brain Cancer,Male,25-year,65-74,Belfast HSCT,8
Brain Cancer,Male,25-year,65-74,Northern HSCT,13
Brain Cancer,Male,25-year,65-74,South Eastern HSCT,8
Brain Cancer,Male,25-year,65-74,Southern HSCT,4
Brain Cancer,Male,25-year,65-74,Western HSCT,6
Brain Cancer,Male,25-year,75+,Belfast HSCT,3
Brain Cancer,Male,25-year,75+,Northern HSCT,4
Brain Cancer,Male,25-year,75+,South Eastern HSCT,3
Brain Cancer,Male,25-year,75+,Southern HSCT,4
Brain Cancer,Male,25-year,75+,Western HSCT,2
Colorectal Cancer,Male,25-year,0-54,Belfast HSCT,56
Colorectal Cancer,Male,25-year,0-54,Northern HSCT,83
Colorectal Cancer,Male,25-year,0-54,South Eastern HSCT,68
Colorectal Cancer,Male,25-year,0-54,Southern HSCT,61
Colorectal Cancer,Male,25-year,0-54,Western HSCT,56
Colorectal Cancer,Male,25-year,55-64,Belfast HSCT,149
Colorectal Cancer,Male,25-year,55-64,Northern HSCT,220
