sex,age,deprivation,hsct,geo,smoking,probability
Females,16-34,Quintile 2,SEHSCT,Urban,current_smoker,1.9246339262994736e-4
Males,35-44,Quintile 2,SEHSCT,Urban,current_smoker,2.51039207778192e-4
Females,35-44,Quintile 2,SEHSCT,Urban,current_smoker,2.008313662225535e-4
Males,45-54,Quintile 2,SEHSCT,Urban,current_smoker,2.5103920777819205e-4
Females,45-54,Quintile 2,SEHSCT,Urban,current_smoker,2.4267123418558566e-4
Males,55-64,Quintile 2,SEHSCT,Urban,current_smoker,2.343032605929795e-4
Females,55-64,Quintile 2,SEHSCT,Urban,current_smoker,2.928790757412241e-4
Males,65-74,Quintile 2,SEHSCT,Urban,current_smoker,2.2593528700037293e-4
Females,65-74,Quintile 2,SEHSCT,Urban,current_smoker,2.0919933981516017e-4
Males,75-110,Quintile 2,SEHSCT,Urban,current_smoker,1.0041568311127682e-4
Females,75-110,Quintile 2,SEHSCT,Urban,current_smoker,7.53117623334576e-5
Males,16-34,Quintile 3,SEHSCT,Urban,current_smoker,1.994367039571197e-4
Females,16-34,Quintile 3,SEHSCT,Urban,current_smoker,1.1761651771830136e-4
Males,35-44,Quintile 3,SEHSCT,Urban,current_smoker,1.534128491977843e-4
Females,35-44,Quintile 3,SEHSCT,Urban,current_smoker,1.2273027935822743e-4
Males,45-54,Quintile 3,SEHSCT,Urban,current_smoker,1.5341284919778437e-4
Females,45-54,Quintile 3,SEHSCT,Urban,current_smoker,1.482990875578582e-4
Males,55-64,Quintile 3,SEHSCT,Urban,current_smoker,1.431853259179322e-4
Females,55-64,Quintile 3,SEHSCT,Urban,current_smoker,1.789816573974151e-4
Males,65-74,Quintile 3,SEHSCT,Urban,current_smoker,1.3807156427800594e-4
Females,65-74,Quintile 3,SEHSCT,Urban,current_smoker,1.278440409981537e-4
Males,75-110,Quintile 3,SEHSCT,Urban,current_smoker,6.136513967911375e-5
Females,75-110,Quintile 3,SEHSCT,Urban,current_smoker,4.60238547593353e-5
Males,16-34,Quintile 4,SEHSCT,Urban,current_smoker,1.8130609450647218e-4
Females,16-34,Quintile 4,SEHSCT,Urban,current_smoker,1.0692410701663741e-4
Males,35-44,Quintile 4,SEHSCT,Urban,current_smoker,1.3946622654344e-4
Females,35-44,Quintile 4,SEHSCT,Urban,current_smoker,1.1157298123475199e-4
Males,45-54,Quintile 4,SEHSCT,Urban,current_smoker,1.394662265434401e-4
Females,45-54,Quintile 4,SEHSCT,Urban,current_smoker,1.348173523253254e-4
Males,55-64,Quintile 4,SEHSCT,Urban,current_smoker,1.3016847810721084e-4
Females,55-64,Quintile 4,SEHSCT,Urban,current_smoker,1.6271059763401342e-4
Males,65-74,Quintile 4,SEHSCT,Urban,current_smoker,1.255196038890961e-4
Females,65-74,Quintile 4,SEHSCT,Urban,current_smoker,1.1622185545286677e-4
Males,75-110,Quintile 4,SEHSCT,Urban,current_smoker,5.5786490617376035e-5
Females,75-110,Quintile 4,SEHSCT,Urban,current_smoker,4.1839867963032004e-5
Males,16-34,Least Deprived,SEHSCT,Urban,current_smoker,1.2691426615453068e-4
Females,16-34,Least Deprived,SEHSCT,Urban,current_smoker,7.484687491164631e-5
Males,35-44,Least Deprived,SEHSCT,Urban,current_smoker,9.762635858040815e-5
Females,35-44,Least Deprived,SEHSCT,Urban,current_smoker,7.810108686432649e-5
Males,45-54,Least Deprived,SEHSCT,Urban,current_smoker,9.762635858040818e-5
Females,45-54,Least Deprived,SEHSCT,Urban,current_smoker,9.43721466277279e-5
Males,55-64,Least Deprived,SEHSCT,Urban,current_smoker,9.111793467504767e-5
Females,55-64,Least Deprived,SEHSCT,Urban,current_smoker,1.1389741834380952e-4
Males,65-74,Least Deprived,SEHSCT,Urban,current_smoker,8.786372272236738e-5
Females,65-74,Least Deprived,SEHSCT,Urban,current_smoker,8.135529881700683e-5
Males,75-110,Least Deprived,SEHSCT,Urban,current_smoker,3.905054343216327e-5
Females,75-110,Least Deprived,SEHSCT,Urban,current_smoker,2.928790757412245e-5
Males,16-34,Most Deprived,SHSCT,Urban,current_smoker,4.2606932209020976e-4
Females,16-34,Most Deprived,SHSCT,Urban,current_smoker,2.512716514890981e-4
Males,35-44,Most Deprived,SHSCT,Urban,current_smoker,3.2774563237708424e-4
Females,35-44,Most Deprived,SHSCT,Urban,current_smoker,2.6219650590166737e-4
Males,45-54,Most Deprived,SHSCT,Urban,current_smoker,3.2774563237708445e-4
Females,45-54,Most Deprived,SHSCT,Urban,current_smoker,3.1682077796451485e-4
Males,55-64,Most Deprived,SHSCT,Urban,current_smoker,3.058959235519457e-4
Females,55-64,Most Deprived,SHSCT,Urban,current_smoker,0.00038236990443993177
Males,65-74,Most Deprived,SHSCT,Urban,current_smoker,2.94971069139376e-4
Females,65-74,Most Deprived,SHSCT,Urban,current_smoker,0.00027312136031423703
Males,75-110,Most Deprived,SHSCT,Urban,current_smoker,1.3109825295083377e-4
Females,75-110,Most Deprived,SHSCT,Urban,current_smoker,9.832368971312528e-5
Males,16-34,Quintile 2,SHSCT,Urban,current_smoker,3.263509701116498e-4
Females,16-34,Quintile 2,SHSCT,Urban,current_smoker,1.9246339262994736e-4
Males,35-44,Quintile 2,SHSCT,Urban,current_smoker,2.51039207778192e-4
Females,35-44,Quintile 2,SHSCT,Urban,current_smoker,2.008313662225535e-4
Males,45-54,Quintile 2,SHSCT,Urban,current_smoker,2.5103920777819205e-4
Females,45-54,Quintile 2,SHSCT,Urban,current_smoker,2.4267123418558566e-4
Males,55-64,Quintile 2,SHSCT,Urban,current_smoker,2.343032605929795e-4
Females,55-64,Quintile 2,SHSCT,Urban,current_smoker,2.928790757412241e-4
Males,65-74,Quintile 2,SHSCT,Urban,current_smoker,2.2593528700037293e-4
Females,65-74,Quintile 2,SHSCT,Urban,current_smoker,2.0919933981516017e-4
Males,75-110,Quintile 2,SHSCT,Urban,current_smoker,1.0041568311127682e-4
Females,75-110,Quintile 2,SHSCT,Urban,current_smoker,7.53117623334576e-5
Males,16-34,Quintile 3,SHSCT,Urban,current_smoker,1.994367039571197e-4
Females,16-34,Quintile 3,SHSCT,Urban,current_smoker,1.1761651771830136e-4
Males,35-44,Quintile 3,SHSCT,Urban,current_smoker,1.534128491977843e-4
Females,35-44,Quintile 3,SHSCT,Urban,current_smoker,1.2273027935822743e-4
Males,45-54,Quintile 3,SHSCT,Urban,current_smoker,1.5341284919778437e-4
Females,45-54,Quintile 3,SHSCT,Urban,current_smoker,1.482990875578582e-4
Males,55-64,Quintile 3,SHSCT,Urban,current_smoker,1.431853259179322e-4
Females,55-64,Quintile 3,SHSCT,Urban,current_smoker,1.789816573974151e-4
Males,65-74,Quintile 3,SHSCT,Urban,current_smoker,1.3807156427800594e-4
Females,65-74,Quintile 3,SHSCT,Urban,current_smoker,1.278440409981537e-4
Males,75-110,Quintile 3,SHSCT,Urban,current_smoker,6.136513967911375e-5
Females,75-110,Quintile 3,SHSCT,Urban,current_smoker,4.60238547593353e-5
Males,16-34,Quintile 4,SHSCT,Urban,current_smoker,1.8130609450647218e-4
Females,16-34,Quintile 4,SHSCT,Urban,current_smoker,1.0692410701663741e-4
Males,35-44,Quintile 4,SHSCT,Urban,current_smoker,1.3946622654344e-4
Females,35-44,Quintile 4,SHSCT,Urban,current_smoker,1.1157298123475199e-4
Males,45-54,Quintile 4,SHSCT,Urban,current_smoker,1.394662265434401e-4
Females,45-54,Quintile 4,SHSCT,Urban,current_smoker,1.348173523253254e-4
Males,55-64,Quintile 4,SHSCT,Urban,current_smoker,1.3016847810721084e-4
Females,55-64,Quintile 4,SHSCT,Urban,current_smoker,1.6271059763401342e-4
Males,65-74,Quintile 4,SHSCT,Urban,current_smoker,1.255196038890961e-4
Females,65-74,Quintile 4,SHSCT,Urban,current_smoker,1.1622185545286677e-4
Males,75-110,Quintile 4,SHSCT,Urban,current_smoker,5.5786490617376035e-5
Females,75-110,Quintile 4,SHSCT,Urban,current_smoker,4.1839867963032004e-5
Males,16-34,Least Deprived,SHSCT,Urban,current_smoker,1.2691426615453068e-4
Females,16-34,Least Deprived,SHSCT,Urban,current_smoker,7.484687491164631e-5
Males,35-44,Least Deprived,SHSCT,Urban,current_smoker,9.762635858040815e-5
Females,35-44,Least Deprived,SHSCT,Urban,current_smoker,7.810108686432649e-5
Males,45-54,Least Deprived,SHSCT,Urban,current_smoker,9.762635858040818e-5
Females,45-54,Least Deprived,SHSCT,Urban,current_smoker,9.43721466277279e-5
Males,55-64,Least Deprived,SHSCT,Urban,current_smoker,9.111793467504767e-5
Females,55-64,Least Deprived,SHSCT,Urban,current_smoker,1.1389741834380952e-4
Males,65-74,Least Deprived,SHSCT,Urban,current_smoker,8.786372272236738e-5
Females,65-74,Least Deprived,SHSCT,Urban,current_smoker,8.135529881700683e-5
Males,75-110,Least Deprived,SHSCT,Urban,current_smoker,3.905054343216327e-5
Females,75-110,Least Deprived,SHSCT,Urban,current_smoker,2.928790757412245e-5
Males,16-34,Most Deprived,WHSCT,Urban,current_smoker,4.942404136246428e-4
Females,16-34,Most Deprived,WHSCT,Urban,current_smoker,2.9147511572735334e-4
Males,35-44,Most Deprived,WHSCT,Urban,current_smoker,3.801849335574173e-4
Females,35-44,Most Deprived,WHSCT,Urban,current_smoker,3.0414794684593385e-4
Males,45-54,Most Deprived,WHSCT,Urban,current_smoker,3.801849335574176e-4
Females,45-54,Most Deprived,WHSCT,Urban,current_smoker,3.675121024388368e-4
Males,55-64,Most Deprived,WHSCT,Urban,current_smoker,3.548392713202566e-4
Females,55-64,Most Deprived,WHSCT,Urban,current_smoker,4.4354908915032027e-4
Males,65-74,Most Deprived,WHSCT,Urban,current_smoker,3.4216644020167576e-4
Females,65-74,Most Deprived,WHSCT,Urban,current_smoker,3.1682077796451463e-4
Males,75-110,Most Deprived,WHSCT,Urban,current_smoker,1.5207397342296698e-4
Females,75-110,Most Deprived,WHSCT,Urban,current_smoker,1.140554800672252e-4
Males,16-34,Quintile 2,WHSCT,Urban,current_smoker,3.785671253295134e-4
Females,16-34,Quintile 2,WHSCT,Urban,current_smoker,2.232575354507387e-4
Males,35-44,Quintile 2,WHSCT,Urban,current_smoker,2.9120548102270247e-4
Females,35-44,Quintile 2,WHSCT,Urban,current_smoker,2.3296438481816185e-4
Males,45-54,Quintile 2,WHSCT,Urban,current_smoker,2.9120548102270263e-4
Females,45-54,Quintile 2,WHSCT,Urban,current_smoker,2.8149863165527906e-4
Males,55-64,Quintile 2,WHSCT,Urban,current_smoker,0.00027179178228785593
Females,55-64,Quintile 2,WHSCT,Urban,current_smoker,3.397397278598196e-4
Males,65-74,Quintile 2,WHSCT,Urban,current_smoker,2.6208493292043225e-4
Females,65-74,Quintile 2,WHSCT,Urban,current_smoker,2.426712341855856e-4
Males,75-110,Quintile 2,WHSCT,Urban,current_smoker,1.16482192409081e-4
Females,75-110,Quintile 2,WHSCT,Urban,current_smoker,8.736164430681074e-5
Males,16-34,Quintile 3,WHSCT,Urban,current_smoker,2.3134657659025862e-4
Females,16-34,Quintile 3,WHSCT,Urban,current_smoker,1.3643516055322945e-4
Males,35-44,Quintile 3,WHSCT,Urban,current_smoker,1.779589050694296e-4
Females,35-44,Quintile 3,WHSCT,Urban,current_smoker,1.4236712405554363e-4
Males,45-54,Quintile 3,WHSCT,Urban,current_smoker,1.7795890506942962e-4
Females,45-54,Quintile 3,WHSCT,Urban,current_smoker,1.7202694156711533e-4
Males,55-64,Quintile 3,WHSCT,Urban,current_smoker,1.6609497806480115e-4
Females,55-64,Quintile 3,WHSCT,Urban,current_smoker,2.0761872258100124e-4
Males,65-74,Quintile 3,WHSCT,Urban,current_smoker,1.601630145624867e-4
Females,65-74,Quintile 3,WHSCT,Urban,current_smoker,1.4829908755785808e-4
Males,75-110,Quintile 3,WHSCT,Urban,current_smoker,7.118356202777184e-5
Females,75-110,Quintile 3,WHSCT,Urban,current_smoker,5.338767152082889e-5
Males,16-34,Quintile 4,WHSCT,Urban,current_smoker,2.103150696275074e-4
Females,16-34,Quintile 4,WHSCT,Urban,current_smoker,1.2403196413929925e-4
Males,35-44,Quintile 4,WHSCT,Urban,current_smoker,1.6178082279039025e-4
Females,35-44,Quintile 4,WHSCT,Urban,current_smoker,1.294246582323122e-4
Males,45-54,Quintile 4,WHSCT,Urban,current_smoker,1.6178082279039036e-4
Females,45-54,Quintile 4,WHSCT,Urban,current_smoker,1.5638812869737728e-4
Males,55-64,Quintile 4,WHSCT,Urban,current_smoker,1.5099543460436442e-4
Females,55-64,Quintile 4,WHSCT,Urban,current_smoker,1.8874429325545534e-4
Males,65-74,Quintile 4,WHSCT,Urban,current_smoker,1.4560274051135131e-4
Females,65-74,Quintile 4,WHSCT,Urban,current_smoker,1.3481735232532532e-4
Males,75-110,Quintile 4,WHSCT,Urban,current_smoker,6.471232911615612e-5
Females,75-110,Quintile 4,WHSCT,Urban,current_smoker,4.853424683711708e-5
Males,16-34,Least Deprived,WHSCT,Urban,current_smoker,1.4722054873925544e-4
Females,16-34,Least Deprived,WHSCT,Urban,current_smoker,8.68223748975096e-5
Males,35-44,Least Deprived,WHSCT,Urban,current_smoker,1.1324657595327332e-4
Females,35-44,Least Deprived,WHSCT,Urban,current_smoker,9.059726076261862e-5
Males,45-54,Least Deprived,WHSCT,Urban,current_smoker,1.1324657595327339e-4
Females,45-54,Least Deprived,WHSCT,Urban,current_smoker,1.0947169008816425e-4
Males,55-64,Least Deprived,WHSCT,Urban,current_smoker,1.0569680422305519e-4
Females,55-64,Least Deprived,WHSCT,Urban,current_smoker,1.3212100527881893e-4
Males,65-74,Least Deprived,WHSCT,Urban,current_smoker,1.0192191835794603e-4
Females,65-74,Least Deprived,WHSCT,Urban,current_smoker,9.437214662772783e-5
