cancer_site,period,age,HSCT,sex,prevalence
Gallbladder And Other Biliary Cancer,25-year,75+,Northern HSCT,Male,8.595238095238095
Gallbladder And Other Biliary Cancer,25-year,75+,South Eastern HSCT,Male,6.333333333333334
Gallbladder And Other Biliary Cancer,25-year,75+,Southern HSCT,Male,8.142857142857142
Gallbladder And Other Biliary Cancer,25-year,75+,Western HSCT,Male,6.333333333333334
Gallbladder And Other Biliary Cancer,25-year,0-54,Belfast HSCT,Female,1.1313131313131315
Gallbladder And Other Biliary Cancer,25-year,0-54,Northern HSCT,Female,1.272727272727273
Gallbladder And Other Biliary Cancer,25-year,0-54,South Eastern HSCT,Female,1.8383838383838387
Gallbladder And Other Biliary Cancer,25-year,0-54,Southern HSCT,Female,2.0505050505050506
Gallbladder And Other Biliary Cancer,25-year,0-54,Western HSCT,Female,0.7070707070707072
Gallbladder And Other Biliary Cancer,25-year,55-64,Belfast HSCT,Female,2.262626262626263
Gallbladder And Other Biliary Cancer,25-year,55-64,Northern HSCT,Female,2.545454545454546
Gallbladder And Other Biliary Cancer,25-year,55-64,South Eastern HSCT,Female,3.6767676767676774
Gallbladder And Other Biliary Cancer,25-year,55-64,Southern HSCT,Female,4.101010101010101
Gallbladder And Other Biliary Cancer,25-year,55-64,Western HSCT,Female,1.4141414141414144
Gallbladder And Other Biliary Cancer,25-year,65-74,Belfast HSCT,Female,4.686868686868687
Gallbladder And Other Biliary Cancer,25-year,65-74,Northern HSCT,Female,5.2727272727272725
Gallbladder And Other Biliary Cancer,25-year,65-74,South Eastern HSCT,Female,7.616161616161616
Gallbladder And Other Biliary Cancer,25-year,65-74,Southern HSCT,Female,8.494949494949495
Gallbladder And Other Biliary Cancer,25-year,65-74,Western HSCT,Female,2.9292929292929295
Gallbladder And Other Biliary Cancer,25-year,75+,Belfast HSCT,Female,7.91919191919192
Gallbladder And Other Biliary Cancer,25-year,75+,Northern HSCT,Female,8.90909090909091
Gallbladder And Other Biliary Cancer,25-year,75+,South Eastern HSCT,Female,12.86868686868687
Gallbladder And Other Biliary Cancer,25-year,75+,Southern HSCT,Female,14.353535353535353
Gallbladder And Other Biliary Cancer,25-year,75+,Western HSCT,Female,4.94949494949495
Kidney Cancer,25-year,0-54,Belfast HSCT,Male,38.268716577540104
Kidney Cancer,25-year,0-54,Northern HSCT,Male,60.158422459893046
Kidney Cancer,25-year,0-54,South Eastern HSCT,Male,49.29010695187166
Kidney Cancer,25-year,0-54,Southern HSCT,Male,45.31016042780749
Kidney Cancer,25-year,0-54,Western HSCT,Male,35.9725935828877
Kidney Cancer,25-year,55-64,Belfast HSCT,Male,54.31149732620321
Kidney Cancer,25-year,55-64,Northern HSCT,Male,85.37767379679144
Kidney Cancer,25-year,55-64,South Eastern HSCT,Male,69.95320855614973
Kidney Cancer,25-year,55-64,Southern HSCT,Male,64.3048128342246
Kidney Cancer,25-year,55-64,Western HSCT,Male,51.05280748663102
Kidney Cancer,25-year,65-74,Belfast HSCT,Male,79.21122994652406
Kidney Cancer,25-year,65-74,Northern HSCT,Male,124.52005347593582
Kidney Cancer,25-year,65-74,South Eastern HSCT,Male,102.02406417112299
Kidney Cancer,25-year,65-74,Southern HSCT,Male,93.7860962566845
Kidney Cancer,25-year,65-74,Western HSCT,Male,74.45855614973262
Kidney Cancer,25-year,75+,Belfast HSCT,Male,78.20855614973262
Kidney Cancer,25-year,75+,Northern HSCT,Male,122.94385026737967
Kidney Cancer,25-year,75+,South Eastern HSCT,Male,100.7326203208556
Kidney Cancer,25-year,75+,Southern HSCT,Male,92.59893048128342
Kidney Cancer,25-year,75+,Western HSCT,Male,73.51604278074866
Kidney Cancer,25-year,0-54,Belfast HSCT,Female,32.59552845528455
Kidney Cancer,25-year,0-54,Northern HSCT,Female,44.638211382113816
Kidney Cancer,25-year,0-54,South Eastern HSCT,Female,27.617886178861788
Kidney Cancer,25-year,0-54,Southern HSCT,Female,27.778455284552845
Kidney Cancer,25-year,0-54,Western HSCT,Female,25.36991869918699
Kidney Cancer,25-year,55-64,Belfast HSCT,Female,36.72154471544716
Kidney Cancer,25-year,55-64,Northern HSCT,Female,50.28861788617885
Kidney Cancer,25-year,55-64,South Eastern HSCT,Female,31.11382113821138
Kidney Cancer,25-year,55-64,Southern HSCT,Female,31.29471544715447
Kidney Cancer,25-year,55-64,Western HSCT,Female,28.581300813008127
Kidney Cancer,25-year,65-74,Belfast HSCT,Female,54.66971544715447
Kidney Cancer,25-year,65-74,Northern HSCT,Female,74.86788617886178
Kidney Cancer,25-year,65-74,South Eastern HSCT,Female,46.32113821138211
Kidney Cancer,25-year,65-74,Southern HSCT,Female,46.59044715447154
Kidney Cancer,25-year,65-74,Western HSCT,Female,42.55081300813008
Kidney Cancer,25-year,75+,Belfast HSCT,Female,79.01321138211382
Kidney Cancer,25-year,75+,Northern HSCT,Female,108.20528455284553
Kidney Cancer,25-year,75+,South Eastern HSCT,Female,66.94715447154472
Kidney Cancer,25-year,75+,Southern HSCT,Female,67.33638211382114
Kidney Cancer,25-year,75+,Western HSCT,Female,61.4979674796748
Liver Cancer,25-year,0-54,Belfast HSCT,Male,5.451327433628319
Liver Cancer,25-year,0-54,Northern HSCT,Male,4.672566371681416
Liver Cancer,25-year,0-54,South Eastern HSCT,Male,5.159292035398229
Liver Cancer,25-year,0-54,Southern HSCT,Male,3.699115044247788
Liver Cancer,25-year,0-54,Western HSCT,Male,3.017699115044248
Liver Cancer,25-year,55-64,Belfast HSCT,Male,8.672566371681416
Liver Cancer,25-year,55-64,Northern HSCT,Male,7.433628318584072
Liver Cancer,25-year,55-64,South Eastern HSCT,Male,8.20796460176991
Liver Cancer,25-year,55-64,Southern HSCT,Male,5.88495575221239
Liver Cancer,25-year,55-64,Western HSCT,Male,4.800884955752213
